Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh)
1,0.00,0.77,0.00,0.00,0.00,0.00,0.00,13.27,25.00,80,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  18:56:0
2,0.00,0.03,0.00,0.00,0.00,0.00,0.00,13.27,25.00,80,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  19:7:0
3,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.26,25.00,80,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  19:18:0
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.26,25.00,80,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  19:29:0
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.26,25.00,80,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  19:40:0
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.25,25.00,79,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  19:51:0
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.25,25.00,79,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  20:2:0
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.24,25.00,79,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  20:13:0
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.24,25.00,79,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  20:24:0
10,0.00,0.02,0.00,0.00,0.00,0.00,0.00,13.24,25.00,79,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  20:35:0
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,25.00,79,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  20:46:0
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  20:58:0
13,0.00,0.08,0.00,0.00,0.00,0.00,0.00,13.23,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  21:9:0
14,0.00,0.06,0.00,0.00,0.00,0.00,0.00,13.22,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  21:20:0
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.22,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  21:31:0
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.22,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  21:42:0
17,0.00,0.02,0.00,0.00,0.00,0.00,0.00,13.22,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  21:53:0
18,0.00,0.85,0.00,0.00,0.00,0.00,0.00,13.22,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  22:4:0
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.22,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  22:15:0
20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,13.21,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  22:26:0
21,0.00,0.15,0.00,0.00,0.00,0.00,0.00,13.21,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  22:37:0
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.21,25.00,78,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  22:48:0
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  22:59:0
24,0.00,0.04,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  23:10:0
25,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  23:21:0
26,0.00,0.05,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  23:32:0
27,0.00,0.03,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  23:43:0
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,15.14,12.91,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.07,0.22,1.37,2.64,2017/10/6  23:54:0
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.19,25.00,77,13.21,13.18,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  0:5:0
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.20,25.00,77,13.21,13.18,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  0:16:0
31,0.00,0.03,0.00,0.00,0.00,0.00,0.00,13.19,25.00,77,13.21,13.18,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  0:27:0
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.18,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  0:38:0
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.19,25.00,77,13.21,13.18,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  0:49:0
34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.19,25.00,77,13.21,13.18,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  1:0:0
35,0.00,0.03,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.17,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  1:11:0
36,0.00,0.05,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.17,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  1:22:0
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.17,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  1:33:0
38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.17,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  1:44:0
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.17,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  1:55:0
40,0.00,0.17,0.00,0.00,0.00,0.00,0.00,13.18,25.00,77,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  2:7:0
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,25.00,77,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  2:18:0
42,0.00,0.02,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  2:29:0
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  2:40:0
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  2:51:0
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  3:2:0
46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  3:13:0
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  3:24:0
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  3:35:0
49,0.00,0.05,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.16,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  3:46:0
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  3:57:0
51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  4:8:0
52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  4:19:0
53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  4:30:0
54,0.00,0.16,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  4:41:0
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  4:52:0
56,0.00,0.13,0.00,0.00,0.00,0.00,0.00,13.15,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  5:3:0
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,76,13.21,13.15,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  5:14:0
58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,25.00,76,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  5:25:0
59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  5:36:0
60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  5:47:0
61,0.00,0.02,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  5:58:0
62,0.00,0.08,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  6:9:0
63,0.00,0.17,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  6:20:0
64,0.00,1.95,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  6:31:0
65,0.00,4.28,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  6:42:0
66,0.00,9.44,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,13.21,13.14,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  6:53:0
67,0.00,14.06,0.00,0.00,0.00,0.00,0.00,13.14,25.00,75,13.26,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  7:4:0
68,0.04,14.10,0.65,0.00,0.00,0.00,0.05,13.18,25.00,77,13.26,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  7:15:0
69,0.05,14.11,0.79,0.00,0.00,0.00,0.06,13.20,25.00,77,13.29,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  7:27:0
70,0.06,14.24,0.92,0.00,0.00,0.00,0.07,13.23,25.00,78,13.31,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  7:38:0
71,0.14,14.22,1.99,0.00,0.00,0.00,0.15,13.30,25.00,81,13.38,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  7:49:0
72,0.40,20.19,8.24,0.00,0.00,0.00,0.57,14.46,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  8:0:0
73,0.25,21.67,5.62,0.00,0.00,0.00,0.39,14.43,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  8:11:0
74,0.22,21.72,4.91,0.00,0.00,0.00,0.34,14.45,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  8:22:0
75,0.23,19.25,4.46,0.00,0.00,0.00,0.31,14.39,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  8:33:0
76,0.21,19.06,4.15,0.00,0.00,0.00,0.29,14.34,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  8:44:0
77,0.22,17.60,4.02,0.00,0.00,0.00,0.28,14.39,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  8:55:0
78,0.18,20.28,3.75,0.00,0.00,0.00,0.26,14.46,25.00,100,14.87,13.08,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.22,1.37,2.64,2017/10/7  9:6:0
79,2.36,14.70,34.70,0.00,0.00,0.00,2.58,13.45,25.00,87,14.87,12.91,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.23,1.38,2.65,2017/10/7  9:17:0
80,1.11,13.89,15.44,0.00,0.00,0.00,1.17,13.20,25.00,77,14.87,12.91,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.23,1.38,2.65,2017/10/7  9:28:0
81,0.56,13.97,7.85,0.00,0.00,0.00,0.61,12.87,25.00,65,14.87,12.77,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.23,1.38,2.65,2017/10/7  9:39:0
82,0.79,14.03,11.09,0.00,0.00,0.00,0.86,12.90,25.00,66,14.87,12.77,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.23,1.38,2.65,2017/10/7  9:50:0
83,1.04,13.87,14.53,0.00,0.00,0.00,1.12,12.98,25.00,69,14.87,12.77,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.24,1.39,2.66,2017/10/7  10:1:0
84,0.80,14.07,11.35,0.00,0.00,0.00,0.88,12.90,25.00,66,14.87,12.77,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.24,1.39,2.66,2017/10/7  10:12:0
85,0.59,13.91,8.23,0.00,0.00,0.00,0.64,12.86,25.00,65,14.87,12.77,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.24,1.39,2.66,2017/10/7  10:23:0
86,0.67,14.21,9.64,0.00,0.00,0.00,0.75,12.86,25.00,65,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.24,1.39,2.66,2017/10/7  10:34:0
87,0.86,14.85,12.91,0.00,0.00,0.00,0.94,13.74,25.00,97,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.03,0.25,1.40,2.67,2017/10/7  10:45:0
88,1.35,15.78,21.33,0.00,0.00,0.00,1.51,14.13,25.00,100,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.03,0.25,1.40,2.67,2017/10/7  10:56:0
89,0.96,14.69,14.11,0.00,0.00,0.00,1.01,13.98,25.00,100,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.03,0.25,1.40,2.67,2017/10/7  11:7:0
90,0.57,14.82,8.52,0.00,0.00,0.00,0.62,13.75,25.00,98,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.03,0.25,1.40,2.67,2017/10/7  11:18:0
91,0.77,14.98,11.61,0.00,0.00,0.00,0.84,13.83,25.00,100,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.04,0.26,1.41,2.68,2017/10/7  11:29:0
92,0.81,15.19,12.44,0.00,0.00,0.00,0.89,13.98,25.00,100,14.87,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.04,0.26,1.41,2.68,2017/10/7  11:40:0
93,0.62,21.34,13.33,0.00,0.00,0.00,0.93,14.34,25.00,100,14.95,12.69,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.04,0.26,1.41,2.68,2017/10/7  11:51:0
