Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh)
1,0.00,0.53,0.00,0.00,0.00,0.00,0.00,13.04,25.00,72,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  12:11:0
2,0.00,0.50,0.00,0.00,0.00,0.00,0.00,13.05,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  12:22:0
3,0.00,0.53,0.00,0.00,0.00,0.00,0.00,13.04,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  12:33:0
4,0.00,0.49,0.00,0.00,0.00,0.00,0.00,13.04,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  12:44:0
5,0.00,0.48,0.00,0.00,0.00,0.00,0.00,13.04,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  12:55:0
6,0.00,0.94,0.00,0.00,0.00,0.00,0.00,13.04,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  13:6:0
7,0.00,1.07,0.00,0.00,0.00,0.00,0.00,13.04,25.00,72,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  13:17:0
8,0.00,0.50,0.00,0.00,0.00,0.00,0.00,13.04,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  13:28:0
9,0.00,0.46,0.00,0.00,0.00,0.00,0.00,13.04,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  13:39:0
10,0.00,0.48,0.00,0.00,0.00,0.00,0.00,13.03,25.00,71,14.17,12.56,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.11,0.64,1.79,3.06,2017/2/14  13:50:0
