Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh)
1,0.00,9.82,0.00,0.00,13.29,0.00,0.00,13.29,28.34,82,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  0:11:0
2,0.00,3.87,0.00,0.00,13.28,0.00,0.00,13.28,28.12,82,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  0:22:0
3,0.00,1.66,0.00,0.00,13.28,0.00,0.00,13.28,27.92,82,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  0:33:0
4,0.00,0.14,0.00,0.00,13.27,0.00,0.00,13.27,27.70,81,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  0:44:0
5,0.00,0.08,0.00,0.00,13.27,0.00,0.00,13.27,27.49,81,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  0:55:0
6,0.00,0.06,0.00,0.00,13.26,0.00,0.00,13.26,27.28,81,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  1:6:0
7,0.00,0.08,0.00,0.00,13.26,0.00,0.00,13.26,27.08,80,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  1:17:0
8,0.00,0.05,0.00,0.00,13.25,0.00,0.00,13.25,26.91,80,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  1:28:0
9,0.00,0.01,0.00,0.00,13.25,0.00,0.00,13.25,26.73,80,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  1:39:0
10,0.00,0.03,0.00,0.00,13.25,0.00,0.00,13.25,26.56,80,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  1:50:0
11,0.00,0.07,0.00,0.00,13.24,0.00,0.00,13.24,26.41,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  2:1:0
12,0.00,0.00,0.00,0.00,13.24,0.00,0.00,13.24,26.29,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  2:12:0
13,0.00,0.04,0.00,0.00,13.24,0.00,0.00,13.24,26.13,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  2:23:0
14,0.00,0.01,0.00,0.00,13.23,0.00,0.00,13.23,25.97,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  2:34:0
15,0.00,0.18,0.00,0.00,13.23,0.00,0.00,13.23,25.84,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  2:45:0
16,0.00,0.18,0.00,0.00,13.22,0.00,0.00,13.22,25.68,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  2:56:0
17,0.00,0.24,0.00,0.00,13.22,0.00,0.00,13.22,25.57,79,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  3:7:0
18,0.00,0.17,0.00,0.00,13.22,0.00,0.00,13.22,25.45,78,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  3:19:0
19,0.00,0.24,0.00,0.00,13.22,0.00,0.00,13.22,25.33,78,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  3:30:0
20,0.00,0.23,0.00,0.00,13.22,0.00,0.00,13.22,25.20,78,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  3:41:0
21,0.00,0.24,0.00,0.00,13.21,0.00,0.00,13.21,25.10,78,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  3:52:0
22,0.00,0.20,0.00,0.00,13.22,0.00,0.00,13.22,24.97,78,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  4:3:0
23,0.00,0.23,0.00,0.00,13.21,0.00,0.00,13.21,24.87,78,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  4:14:0
24,0.00,0.20,0.00,0.00,13.21,0.00,0.00,13.21,24.74,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  4:25:0
25,0.00,0.20,0.00,0.00,13.20,0.00,0.00,13.20,24.65,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  4:36:0
26,0.00,0.23,0.00,0.00,13.20,0.00,0.00,13.20,24.54,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  4:47:0
27,0.00,0.19,0.00,0.00,13.20,0.00,0.00,13.20,24.44,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  4:58:0
28,0.00,0.21,0.00,0.00,13.20,0.00,0.00,13.20,24.33,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  5:9:0
29,0.00,0.19,0.00,0.00,13.20,0.00,0.00,13.20,24.25,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  5:20:0
30,0.00,0.19,0.00,0.00,13.19,0.00,0.00,13.19,24.14,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  5:31:0
31,0.00,0.21,0.00,0.00,13.19,0.00,0.00,13.19,24.04,77,14.71,12.78,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.09,2.13,3.40,2017/2/14  5:42:0
32,0.00,0.21,0.00,0.00,13.19,0.00,0.00,13.19,23.97,76,13.2,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  5:53:0
33,0.00,0.23,0.00,0.00,13.19,0.00,0.00,13.19,23.87,76,13.2,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  6:4:0
34,0.00,0.20,0.00,0.00,13.19,0.00,0.00,13.19,23.77,76,13.2,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  6:15:0
35,0.00,0.23,0.00,0.00,13.18,0.00,0.00,13.18,23.69,76,13.2,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  6:26:0
36,0.00,0.23,0.00,0.00,13.18,0.00,0.00,13.18,23.60,76,13.2,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  6:37:0
37,0.00,0.23,0.00,0.00,13.18,0.00,0.00,13.18,23.50,76,13.2,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  6:48:0
38,0.00,0.23,0.00,0.00,13.18,0.00,0.00,13.18,23.43,76,13.2,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  6:59:0
39,0.00,0.23,0.00,0.00,13.18,0.00,0.00,13.18,23.34,76,13.2,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  7:10:0
40,0.00,0.03,0.00,0.00,13.18,0.00,0.00,13.18,23.26,76,13.2,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  7:21:0
41,0.00,0.03,0.00,0.00,13.17,0.00,0.00,13.17,23.19,76,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  7:32:0
42,0.00,0.01,0.00,0.00,13.17,0.00,0.00,13.17,23.10,76,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  7:43:0
43,0.00,0.00,0.00,0.00,13.17,0.00,0.00,13.17,23.03,75,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  7:54:0
44,0.00,0.02,0.00,0.00,13.17,0.00,0.00,13.17,22.96,75,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  8:5:0
45,0.00,0.02,0.00,0.00,13.17,0.00,0.00,13.17,22.89,75,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  8:17:0
46,0.00,0.03,0.00,0.00,13.16,0.00,0.00,13.16,22.84,75,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  8:28:0
47,0.00,0.02,0.00,0.00,13.17,0.00,0.00,13.17,22.77,75,13.2,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  8:39:0
48,0.00,0.00,0.00,0.00,13.16,0.00,0.00,13.16,22.70,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  8:50:0
49,0.00,0.02,0.00,0.00,13.16,0.00,0.00,13.16,22.64,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  9:1:0
50,0.00,0.03,0.00,0.00,13.16,0.00,0.00,13.16,22.59,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  9:12:0
51,0.00,0.02,0.00,0.00,13.15,0.00,0.00,13.15,22.53,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  9:23:0
52,0.00,0.00,0.00,0.00,13.15,0.00,0.00,13.15,22.48,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  9:34:0
53,0.00,0.01,0.00,0.00,13.15,0.00,0.00,13.15,22.41,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  9:45:0
54,0.00,0.04,0.00,0.00,13.16,0.00,0.00,13.16,22.33,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  9:56:0
55,0.00,0.02,0.00,0.00,13.15,0.00,0.00,13.15,22.30,75,13.2,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  10:7:0
56,0.00,0.01,0.00,0.00,13.15,0.00,0.00,13.15,22.23,75,13.2,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  10:18:0
57,0.00,0.03,0.00,0.00,13.15,0.00,0.00,13.15,22.17,74,13.2,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  10:29:0
58,0.00,0.02,0.00,0.00,13.15,0.00,0.00,13.15,22.13,74,13.2,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  10:40:0
59,0.00,0.03,0.00,0.00,13.15,0.00,0.00,13.15,22.06,74,13.2,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  10:51:0
60,0.00,0.03,0.00,0.00,13.15,0.00,0.00,13.15,22.00,74,13.2,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  11:2:0
61,0.00,0.02,0.00,0.00,13.15,0.00,0.00,13.15,21.93,74,13.2,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  11:13:0
62,0.00,0.02,0.00,0.00,13.14,0.00,0.00,13.14,21.88,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  11:24:0
63,0.00,0.02,0.00,0.00,13.15,0.00,0.00,13.15,21.83,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  11:35:0
64,0.00,0.03,0.00,0.00,13.14,0.00,0.00,13.14,21.77,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  11:46:0
65,0.00,0.04,0.00,0.00,13.14,0.00,0.00,13.14,21.74,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  11:57:0
66,0.00,0.04,0.00,0.00,13.14,0.00,0.00,13.14,21.73,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  12:8:0
67,0.00,0.30,0.00,0.00,13.14,0.00,0.00,13.14,21.74,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  12:19:0
68,0.00,2.44,0.00,0.00,13.14,0.00,0.00,13.14,21.72,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  12:30:0
69,0.00,4.57,0.00,0.00,13.13,0.00,0.00,13.13,21.72,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  12:41:0
70,0.00,9.70,0.00,0.00,13.14,0.00,0.00,13.14,21.70,74,13.2,13.12,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  12:52:0
71,0.00,14.01,0.00,0.00,13.12,0.00,0.00,13.12,21.70,73,13.27,13.05,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.09,2.13,3.40,2017/2/14  13:3:0
