Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh)
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.13,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  20:32:0
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.13,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  20:43:0
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  20:54:0
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  21:6:0
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  21:17:0
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  21:28:0
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  21:39:0
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  21:50:0
34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  22:1:0
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  22:12:0
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  22:23:0
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  22:34:0
38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  22:45:0
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  22:56:0
40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  23:7:0
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  23:18:0
42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  23:29:0
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  23:40:0
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,74,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  23:51:0
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,25.00,74,13.1,13.08,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  0:2:0
46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,73,13.1,13.08,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  0:13:0
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,25.00,73,13.1,13.08,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  0:24:0
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,25.00,73,13.1,13.08,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  0:35:0
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,25.00,73,13.1,13.08,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  0:46:0
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,25.00,73,13.1,13.08,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  0:57:0
51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  1:8:0
52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  1:19:0
53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  1:30:0
54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  1:41:0
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  1:52:0
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  2:3:0
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  2:14:0
58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  2:26:0
59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  2:37:0
60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  2:48:0
61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  2:59:0
62,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.07,25.00,73,13.1,13.07,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  3:10:0
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,72,13.1,13.06,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  3:21:0
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.07,25.00,72,13.1,13.06,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  3:32:0
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,73,13.1,13.06,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  3:43:0
66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,25.00,72,13.1,13.06,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  3:54:0
67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.07,25.00,72,13.1,13.06,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  4:5:0
68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.07,25.00,72,13.1,13.06,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  4:16:0
69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.07,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  4:27:0
70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.07,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  4:38:0
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  4:49:0
72,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  5:0:0
73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  5:11:0
74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  5:22:0
75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  5:33:0
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  5:44:0
77,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  5:55:0
78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  6:6:0
79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  6:17:0
80,0.00,0.27,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  6:28:0
81,0.00,2.39,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  6:39:0
82,0.00,4.97,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  6:50:0
83,0.00,12.71,0.00,0.00,0.00,0.00,0.00,13.06,25.00,72,13.1,13.05,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  7:1:0
84,0.00,13.99,0.00,0.00,0.00,0.00,0.00,13.07,25.00,72,13.22,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  7:12:0
85,0.07,13.93,1.04,0.00,0.00,0.00,0.08,13.08,25.00,73,13.22,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  7:23:0
86,0.07,14.08,1.04,0.00,0.00,0.00,0.08,13.11,25.00,74,13.22,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  7:34:0
87,0.14,14.16,2.10,0.00,0.00,0.00,0.16,13.17,25.00,76,13.24,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  7:46:0
88,0.20,14.28,2.91,0.00,0.00,0.00,0.22,13.25,25.00,80,13.33,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  7:57:0
89,0.22,14.33,3.19,0.00,0.00,0.00,0.24,13.30,25.00,81,13.38,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  8:8:0
90,0.35,14.43,5.09,0.00,0.00,0.00,0.38,13.40,25.00,85,13.49,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  8:19:0
91,0.43,14.53,6.33,0.00,0.00,0.00,0.47,13.47,25.00,87,13.58,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  8:30:0
92,0.38,14.54,5.66,0.00,0.00,0.00,0.42,13.49,25.00,88,13.6,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  8:41:0
93,0.46,14.68,6.78,0.00,0.00,0.00,0.50,13.56,25.00,91,13.7,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  8:52:0
94,0.69,14.82,10.29,0.00,0.00,0.00,0.75,13.72,25.00,97,13.86,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  9:3:0
95,0.46,14.62,6.76,0.00,0.00,0.00,0.50,13.53,25.00,90,13.92,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.00,0.44,1.59,2.86,2017/10/9  9:14:0
96,0.62,14.89,9.23,0.00,0.00,0.00,0.67,13.79,25.00,100,13.99,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.45,1.60,2.87,2017/10/9  9:25:0
97,0.59,14.86,8.80,0.00,0.00,0.00,0.64,13.75,25.00,98,13.99,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.45,1.60,2.87,2017/10/9  9:36:0
98,0.85,15.05,12.79,0.00,0.00,0.00,0.92,13.91,25.00,100,14.05,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.45,1.60,2.87,2017/10/9  9:47:0
99,0.59,14.97,8.97,0.00,0.00,0.00,0.65,13.80,25.00,100,14.11,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.45,1.60,2.87,2017/10/9  9:58:0
100,1.14,14.74,16.81,0.00,0.00,0.00,1.20,14.01,25.00,100,14.25,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.01,0.45,1.60,2.87,2017/10/9  10:9:0
101,0.00,21.27,0.13,0.00,0.00,0.00,0.01,13.50,25.00,88,14.57,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.46,1.61,2.88,2017/10/9  10:20:0
102,0.85,20.67,17.74,0.00,0.00,0.00,1.23,14.43,25.00,100,14.84,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.46,1.61,2.88,2017/10/9  10:31:0
103,1.01,18.87,19.09,0.00,0.00,0.00,1.33,14.36,25.00,100,14.84,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.02,0.46,1.61,2.88,2017/10/9  10:42:0
104,0.80,20.61,16.51,0.00,0.00,0.00,1.15,14.36,25.00,100,14.87,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.03,0.47,1.62,2.89,2017/10/9  10:53:0
105,0.88,19.01,16.84,0.00,0.00,0.00,1.17,14.40,25.00,100,14.87,12.99,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.03,0.47,1.62,2.89,2017/10/9  11:4:0
