Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh),timestamp
19,0.23,17.43,4.02,0.00,13.87,0.00,0.29,13.87,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  15:29:0
20,0.17,18.27,3.17,0.00,13.80,0.00,0.23,13.80,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  15:40:0
21,0.16,14.88,2.46,0.00,13.72,0.00,0.18,13.72,25.00,96,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  15:51:0
22,0.08,14.55,1.21,0.00,13.54,0.00,0.09,13.54,25.00,90,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  16:2:0
23,0.03,14.35,0.53,0.00,13.42,0.00,0.04,13.42,25.00,85,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  16:13:0
24,0.00,14.30,0.13,0.01,13.36,0.13,0.01,13.36,25.00,83,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  16:24:0
25,0.00,14.42,0.00,0.00,13.31,0.00,0.00,13.31,25.00,82,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  16:35:0
26,0.00,11.96,0.00,0.00,13.31,0.00,0.00,13.31,25.00,81,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  16:46:0
27,0.00,5.34,0.00,0.00,13.30,0.00,0.00,13.30,25.00,81,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  16:57:0
28,0.00,2.63,0.00,0.00,13.29,0.00,0.00,13.29,25.00,81,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  17:8:0
29,0.00,0.34,0.00,0.00,13.29,0.00,0.00,13.29,25.00,81,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  17:20:0
30,0.00,0.08,0.00,0.00,13.29,0.00,0.00,13.29,25.00,81,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  17:31:0
31,0.00,0.03,0.00,0.00,13.27,0.00,0.00,13.27,25.00,80,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  17:42:0
32,0.00,0.04,0.00,0.00,13.27,0.00,0.00,13.27,25.00,80,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  17:53:0
33,0.00,0.03,0.00,0.00,13.27,0.00,0.00,13.27,25.00,80,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  18:4:0
34,0.00,0.05,0.00,0.00,13.26,0.00,0.00,13.26,25.00,80,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  18:15:0
35,0.00,0.04,0.00,0.00,13.25,0.00,0.00,13.25,25.00,80,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  18:26:0
36,0.00,0.10,0.00,0.00,13.25,0.00,0.00,13.25,25.00,80,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  18:37:0
37,0.00,0.11,0.00,0.00,13.26,0.00,0.00,13.26,25.00,79,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  18:48:0
38,0.00,0.15,0.00,0.00,13.25,0.00,0.00,13.25,25.00,79,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  18:59:0
39,0.00,0.09,0.00,0.00,13.24,0.00,0.00,13.24,25.00,79,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  19:10:0
40,0.00,0.11,0.00,0.00,13.24,0.00,0.00,13.24,25.00,79,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  19:21:0
41,0.00,0.13,0.00,0.00,13.24,0.00,0.00,13.24,25.00,79,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  19:32:0
42,0.00,0.04,0.00,0.00,13.24,0.00,0.00,13.24,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  19:43:0
43,0.00,0.15,0.00,0.00,13.24,0.00,0.00,13.24,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  19:54:0
44,0.00,0.06,0.00,0.00,13.23,0.00,0.00,13.23,25.00,79,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  20:5:0
45,0.00,0.00,0.00,0.00,13.23,0.00,0.00,13.23,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  20:16:0
46,0.00,0.00,0.00,0.00,13.23,0.00,0.00,13.23,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  20:27:0
47,0.00,0.04,0.00,0.00,13.23,0.00,0.00,13.23,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  20:38:0
48,0.00,0.05,0.00,0.00,13.22,0.00,0.00,13.22,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  20:49:0
49,0.00,0.04,0.00,0.00,13.22,0.00,0.00,13.22,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  21:0:0
50,0.00,0.07,0.00,0.00,13.22,0.00,0.00,13.22,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  21:11:0
