Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh),timestamp
106,0.21,21.17,4.46,0.00,14.41,0.00,0.31,14.41,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  7:29:0
107,0.19,21.69,4.33,0.00,14.44,0.00,0.30,14.44,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  7:40:0
108,0.18,22.14,4.16,0.00,14.37,0.00,0.29,14.37,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  7:51:0
109,0.20,21.65,4.33,0.00,14.46,0.00,0.30,14.46,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  8:2:0
110,0.14,22.51,3.33,0.00,13.88,0.00,0.24,13.88,25.00,100,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  8:13:0
111,0.14,22.12,3.30,0.00,13.75,0.00,0.24,13.75,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  8:24:0
112,0.13,22.02,3.03,0.00,13.80,0.00,0.22,13.80,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  8:36:0
113,0.14,22.48,3.17,0.00,13.81,0.00,0.23,13.81,25.00,100,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  8:47:0
114,0.12,22.47,2.90,0.00,13.82,0.00,0.21,13.82,25.00,100,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  8:58:0
115,0.14,22.30,3.17,0.00,13.82,0.00,0.23,13.82,25.00,100,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  9:9:0
116,0.13,22.28,3.03,0.00,13.81,0.00,0.22,13.81,25.00,100,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  9:20:0
117,0.13,21.75,2.89,0.00,13.77,0.00,0.21,13.77,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  9:31:0
118,0.12,22.22,2.75,0.00,13.79,0.00,0.20,13.79,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  9:42:0
119,0.12,22.20,2.76,0.00,13.80,0.00,0.20,13.80,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  9:53:0
120,0.13,21.92,2.89,0.01,13.79,0.13,0.21,13.79,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  10:4:0
121,0.13,21.98,2.88,0.00,13.76,0.00,0.21,13.76,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  10:15:0
122,0.13,22.24,2.89,0.00,13.80,0.00,0.21,13.80,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  10:26:0
123,0.13,22.13,2.89,0.00,13.77,0.00,0.21,13.77,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.22,0.65,1.92,2017/2/14  10:37:0
124,0.13,22.19,3.03,0.00,13.78,0.00,0.22,13.78,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  10:48:0
125,0.13,21.82,2.88,0.00,13.75,0.00,0.21,13.75,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  10:59:0
126,0.12,22.02,2.75,0.00,13.79,0.00,0.20,13.79,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  11:10:0
127,0.13,22.13,2.89,0.00,13.77,0.00,0.21,13.77,25.00,99,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  11:21:0
128,0.12,21.97,2.76,0.00,13.80,0.00,0.20,13.80,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  11:32:0
129,0.12,21.87,2.75,0.00,13.75,0.00,0.20,13.75,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  11:43:0
130,0.13,21.67,3.02,0.00,13.77,0.00,0.22,13.77,25.00,98,14.94,13.06,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.23,0.66,1.93,2017/2/14  11:54:0
131,0.11,21.81,2.61,0.00,13.77,0.00,0.19,13.77,25.00,98,13.8,13.73,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.00,0.66,1.93,2017/2/15  0:5:0
132,0.12,21.85,2.75,0.00,13.78,0.00,0.20,13.78,25.00,98,13.81,13.73,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.00,0.66,1.93,2017/2/15  0:16:0
133,1.59,19.32,30.76,0.01,13.86,0.13,2.22,13.86,25.00,100,14.02,13.07,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.00,0.66,1.93,2017/2/15  0:27:0
134,1.34,19.59,26.33,0.00,13.79,0.00,1.91,13.79,25.00,99,14.02,13.07,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.00,0.66,1.93,2017/2/15  0:38:0
135,3.04,15.49,47.12,0.02,12.84,0.25,3.67,12.84,25.00,64,14.15,12.47,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.01,0.67,1.94,2017/2/15  0:49:0
136,3.23,14.87,48.16,0.02,12.81,0.25,3.76,12.81,25.00,60,14.15,12.47,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.02,0.02,0.68,1.95,2017/2/15  1:0:0
137,3.06,15.06,46.19,0.02,12.76,0.25,3.62,12.76,25.00,59,14.15,12.47,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.03,0.03,0.69,1.96,2017/2/15  1:11:0
138,0.92,14.68,13.62,0.00,12.50,0.00,1.09,12.50,25.00,53,14.15,12.3,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.04,0.04,0.70,1.97,2017/2/15  1:22:0
139,2.32,16.41,38.20,0.02,12.61,0.25,3.03,12.61,25.00,56,14.15,12.23,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.04,0.04,0.70,1.97,2017/2/15  1:33:0
140,2.20,16.52,36.50,0.01,12.50,0.12,2.92,12.50,25.00,52,14.15,12.23,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.05,0.05,0.71,1.98,2017/2/15  1:44:0
141,1.82,17.59,32.12,0.00,12.45,0.00,2.58,12.45,25.00,50,14.15,12.17,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.06,0.06,0.72,1.99,2017/2/15  1:56:0
142,2.08,15.43,32.18,0.00,12.33,0.00,2.61,12.33,25.00,46,14.15,12.01,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.06,0.06,0.72,1.99,2017/2/15  2:7:0
143,1.89,16.70,31.70,0.01,12.29,0.12,2.58,12.29,25.00,42,14.15,11.98,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.07,0.07,0.73,2.00,2017/2/15  2:18:0
144,1.46,17.09,25.07,0.00,12.17,0.00,2.06,12.17,25.00,39,14.15,11.96,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.07,0.07,0.73,2.00,2017/2/15  2:29:0
145,1.40,17.53,24.69,0.00,11.99,0.00,2.06,11.99,25.00,35,14.15,11.75,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  2:40:0
146,0.26,12.46,3.25,0.00,11.64,0.00,0.28,11.64,25.00,17,14.15,11.44,Input,RaisingCharge,Undervoltage,On,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  2:51:0
147,1.06,12.42,13.25,0.00,11.63,0.00,1.14,11.63,25.00,22,14.15,11.34,Input,RaisingCharge,Undervoltage,On,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  3:2:0
148,0.39,12.56,4.91,0.00,11.43,0.00,0.43,11.43,25.00,10,14.15,11.13,Input,RaisingCharge,Undervoltage,On,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  3:13:0
149,0.22,12.66,2.79,0.00,0.00,0.00,0.24,11.65,25.00,20,14.15,10.24,Input,RaisingCharge,Overdischarge,Off,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  3:24:0
150,0.16,12.71,2.15,0.00,0.00,0.00,0.18,11.95,25.00,31,14.15,10.24,Input,RaisingCharge,Overdischarge,Off,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  3:35:0
151,0.13,12.63,1.65,0.00,0.00,0.00,0.14,11.85,25.00,27,14.15,10.24,Input,RaisingCharge,Overdischarge,Off,Normal,0.00,0.00,0.01,0.01,0.08,0.08,0.74,2.01,2017/2/15  3:46:0
152,0.11,12.65,1.42,0.00,0.00,0.00,0.12,11.84,25.00,27,14.15,10.24,Input,RaisingCharge,Overdischarge,Off,Normal,0.00,0.00,0.01,0.01,0.09,0.09,0.75,2.02,2017/2/15  3:57:0
153,0.09,12.78,1.20,0.00,0.00,0.00,0.10,12.03,25.00,34,14.15,10.24,Input,RaisingCharge,Overdischarge,Off,Normal,0.00,0.00,0.01,0.01,0.09,0.09,0.75,2.02,2017/2/15  4:8:0
